iter	Passed	Remaining
611	2965	1879
612	2967	1873
613	2970	1867
614	2978	1864
615	2981	1858
616	2983	1852
617	2986	1846
618	2991	1841
619	2997	1837
620	3011	1838
621	3016	1832
622	3019	1826
623	3026	1823
624	3029	1817
625	3031	1811
626	3034	1805
627	3042	1802
628	3045	1796
629	3048	1790
630	3084	1803
631	3090	1799
632	3092	1793
633	3108	1794
634	3111	1788
635	3113	1781
636	3121	1778
637	3124	1772
638	3126	1766
639	3130	1760
640	3136	1756
641	3140	1751
642	3142	1744
643	3145	1738
644	3152	1734
645	3154	1728
646	3158	1723
647	3161	1717
648	3164	1711
649	3167	1705
650	3169	1699
651	3172	1693
652	3174	1686
653	3180	1682
654	3183	1676
655	3188	1671
656	3190	1665
657	3196	1661
658	3202	1657
659	3204	1650
660	3207	1644
661	3211	1639
662	3215	1634
663	3217	1628
664	3219	1622
665	3222	1616
666	3229	1612
667	3234	1607
668	3236	1601
669	3239	1595
670	3242	1589
671	3244	1583
672	3247	1577
673	3249	1571
674	3257	1568
675	3259	1562
676	3262	1556
677	3270	1553
678	3273	1547
679	3276	1541
680	3278	1535
681	3281	1530
682	3288	1526
683	3291	1520
684	3293	1514
685	3296	1508
686	3302	1504
687	3305	1498
688	3308	1493
689	3310	1487
690	3316	1483
691	3320	1477
692	3345	1482
693	3353	1478
694	3355	1472
695	3358	1466
696	3360	1460
697	3367	1456
698	3370	1451
699	3375	1446
700	3381	1442
701	3384	1436
702	3386	1430
703	3388	1424
704	3391	1419
705	3395	1414
706	3398	1408
707	3401	1402
708	3403	1396
709	3405	1391
710	3408	1385
711	3416	1381
712	3418	1376
713	3421	1370
714	3428	1366
715	3432	1361
716	3434	1355
717	3437	1350
718	3439	1344
719	3442	1338
720	3445	1333
721	3450	1328
722	3452	1322
723	3455	1317
724	3458	1311
725	3460	1306
726	3465	1301
727	3469	1296
728	3471	1290
729	3473	1284
730	3475	1279
731	3479	1273
732	3482	1268
733	3485	1263
734	3488	1257
735	3490	1252
736	3492	1246
737	3497	1241
738	3499	1235
739	3503	1230
740	3505	1225
741	3508	1219
742	3513	1215
743	3516	1210
744	3519	1204
745	3521	1199
746	3529	1195
747	3532	1190
748	3535	1184
749	3537	1179
750	3543	1174
751	3545	1169
752	3547	1163
753	3562	1162
754	3565	1156
755	3568	1151
756	3574	1147
757	3578	1142
758	3580	1136
759	3583	1131
760	3586	1126
761	3593	1122
762	3595	1116
763	3598	1111
764	3601	1106
765	3606	1101
766	3610	1096
767	3612	1091
768	3615	1086
769	3617	1080
770	3625	1076
771	3628	1071
772	3630	1066
773	3633	1060
774	3638	1056
775	3641	1051
776	3644	1045
777	3646	1040
778	3656	1037
779	3659	1032
780	3661	1026
781	3664	1021
782	3669	1016
783	3672	1011
784	3674	1006
785	3676	1001
786	3679	995
787	3685	991
788	3687	986
789	3690	981
790	3693	975
791	3695	970
792	3701	966
793	3704	961
794	3706	955
795	3708	950
796	3711	945
797	3717	941
798	3720	935
799	3722	930
800	3725	925
801	3727	920
802	3733	915
803	3739	911
804	3782	916
805	3785	911
806	3787	905
807	3792	901
808	3795	896
809	3797	890
810	3800	885
811	3803	880
812	3809	876
813	3812	871
814	3895	884
815	3897	878
816	3900	873
817	3903	868
818	3908	863
819	3910	858
820	3913	853
821	3915	847
822	3918	842
823	3927	838
824	3933	834
825	3984	839
826	3996	836
